otazka,odpoved
Čo je to projekt?,Projekt je dočasné úsilie s cieľom vytvoriť unikátny produkt alebo službu.
Čo nie je projekt?,"1.opakovaná činnosť
2.štandardné pracovné postupy
3.prevádzka
4.rutinná aktivita
5.bežná práca"
Prečo je projekt dočasné úsilie?,má jednoznačný začaitok a koniec
Kedy sa projekt ukončí?,"1.dosiahnutie cieľov projektu alebo naopak nenaplnenie cieľov
2.vyčerpanie zdrojov (finančné alebo ľudské)
3.neexistencia potreby projektu (napr. zmenou stratégie) - netreba ho už
4.právne dôvôdy - legislatíva"
"Čo znamená, že je projekt jedinečný?","napĺňa ciele prostredníctvom výstupov:
1.unikátny produkt
2.vylepšený produkt,služba, dokument
3.kombinácia uvedených)"
Aké sú projektové kritériá?,"1.jedinečneosť
2.obmedzenosť(čas, peniaze, zdroje)
3.Potreba realizovania projektovým Qmom
4.Komplexnosť a zložitosť
5.Vysoká miera rizika"
Čo je dôvod vzniku prohektu? Iniciovanie projektu?,"1.Požiadavky a potreby stackeholder-ov
2.Regulačné, právne alebo sociálne požiadavky
3.Implementácia alebo zmena biznisovej alebo technickej stratégie
4.Vytvorenie, zlepšenie alebo oprava produktov, procesov alebo služieb"
Vymenuj 5 príklady projketov:,"1.Zavedenie systému kvality
2.Vývoj sofvéru
3.Návrh nového automobilu
4.Sťahovanie organizácie
5.Inovácia produktu
6.Koncertné turné kapely
7.Výskumná expedícia"
Čo je to program?,"Program je konzistentná skupina súvisiacich projektov a aktivít, ktoré majú naplniť spoločný cieľ. Ich spoločná koordinácia má priniesť benefity, ktoré by NEmohli byť dosiahnuté individuálnym riadením bez vzájomnej koordinácie."
Čo je cieľom programu?,Cieľom programu je vzájomný súlad a synergia.
Čo nie je program?,Program nie je zložitý komplexný projekt.
Čo je to portfólio?,"Portólio je tvorené skupinou programov alebo projektov, ktoré nemusia byť prepojené, ale sú zoskupené za účelom koordinácie riadenia, kontroly a optimalizácie."
Na čo sa zameriava portfólio? ,Zameriava sa na posudzovanie projektov a programov z dôvodu prioritizácie pridelenia zdrojov.
Má portfólio začiatok a koniec?,Nemá stanovený začiatok ani koniec.
Z čoho sa skladá portfólio?,Z projektov a programov
Z čoho sa skladá program?,Z projektov
Z Čoho sa skladá trojimperatív?,"1.čas
2.rozsah
3.zdroje"
Vysvetli trojimperatív:,Je to závyslosť času. rozsahu a zdrojov.
Daj príklad na zmenu v trojimperatíve:,Stakeholde to chce mať rychlejšie hotové tak treba zaplatiti ďalších ľudí alebo znížit rozsah.
Prečo projekty zlyhávajú?,"1.nedostatok zdrojov
2.nedostatok času
3.nejasná špecifikácia
4.zmena scope = zmena rozsahu požiadaviek
5.nezhoda medzi stakeholdrami
6.zlý plán
7.nedostatočný manažment projektu"
Vymenuj 5 zletýchpravidiel úspešného projektu:,"1.vytvorenie komplexného a realis>ckého plánu, ktorý je aktuálny
2.získanie zhody ohľadom projektového výstupu
3.požadovanie primeraných zdrojov
4.vytvorenie najlepšieho možného tímu a staranie sa oň
5.informovanie stakeholders
6.prijatie zmeny a skúsiť nové veci
7.projekt vedený manažérom a lídrom"
Čo je to kríza?,"Kríza - mimoriadne zložitá, obtiažna a naliehavá situácia, kedy je zásadne narušené fungovanie bežných procesov a vývoj projektu smeruje k zlej až nebezpečnej situácií."
Čo je to kríza projektu? Vymenuj 4 priklady:,"KRÍZA PROJEKTU je situácia v priebehu projektu, kedy tím nemôže negatívny proces v projekte zvrátiť a riadiť projekt naďalej bežnými postupmi a prostriedkami.

1.obrovské prekročenie rozpočtu
2.veľmi veľký časový sklz
3.absolútny nedostatok zdrojov
4.úplný rozpad projektového tímu
5.súbeh niekoľkých mimoriadnych udalostí"
Načo je krízové riadenie?,Krízové riadenie rieši vzniknutú krízovú situáciu (ako zvládnuť situáciu a ako z nej vyviaznuť).
Čo je to krízový stav?,"Krízový stav na rozdiel od katastrofy (deštrukcia, zrútenie projektu, kedy ľudské reflektovanie je obmedzené len na sledovanie) dáva možnosť zvrátiť stav pozitívnym smerom a teda pokúsiť sa o aktívny zásah."
Vymenuj a vysvetli štádia krízy:,"1.Symptómy krízy - Správy signalizujúce možný výskyt krízových situácií (neustále sklzy v termínoch, výpadky zdrojov,...).
2.Akútne štádium krízy - Zistené skutočnosti, ktoré ohrozujú úspech projektu. Projektový tím ich nedokáže sám odstrániť.
3.Chronické štádium krízy - V dôsledku pretrvávania príčin sa kríza prehlbuje a ohrozuje aj okolie.
4.Riešenie krízy - Zastavenie krízy a dôsledkov pôsobenia krízy. Opatrenia k prechodu na bežné riadenie."
